pin,pin10,year,class,triad_name,triad_code,township_name,township_code,nbhd_code,tax_code,zip_code,lon,lat,x_3435,y_3435,census_block_group_geoid,census_block_geoid,census_congressional_district_geoid,census_congressional_district_num,census_county_subdivision_geoid,census_place_geoid,census_puma_geoid,census_school_district_elementary_geoid,census_school_district_secondary_geoid,census_school_district_unified_geoid,census_state_representative_geoid,census_state_representative_num,census_state_senate_geoid,census_state_senate_num,census_tract_geoid,census_zcta_geoid,census_data_year,census_acs5_congressional_district_geoid,census_acs5_congressional_district_num,census_acs5_county_subdivision_geoid,census_acs5_place_geoid,census_acs5_puma_geoid,census_acs5_school_district_elementary_geoid,census_acs5_school_district_secondary_geoid,census_acs5_school_district_unified_geoid,census_acs5_state_representative_geoid,census_acs5_state_representative_num,census_acs5_state_senate_geoid,census_acs5_state_senate_num,census_acs5_tract_geoid,census_acs5_data_year,cook_board_of_review_district_num,cook_board_of_review_district_data_year,cook_commissioner_district_num,cook_commissioner_district_data_year,cook_judicial_district_num,cook_judicial_district_data_year,ward_num,ward_chicago_data_year,ward_evanston_data_year,chicago_community_area_num,chicago_community_area_name,chicago_community_area_data_year,chicago_industrial_corridor_num,chicago_industrial_corridor_name,chicago_industrial_corridor_data_year,chicago_police_district_num,chicago_police_district_data_year,econ_coordinated_care_area_num,econ_coordinated_care_area_data_year,econ_enterprise_zone_num,econ_enterprise_zone_data_year,econ_industrial_growth_zone_num,econ_industrial_growth_zone_data_year,econ_qualified_opportunity_zone_num,econ_qualified_opportunity_zone_data_year,econ_central_business_district_num,econ_central_business_district_data_year,env_flood_fema_sfha,env_flood_fema_data_year,env_flood_fs_factor,env_flood_fs_risk_direction,env_flood_fs_data_year,env_ohare_noise_contour_no_buffer_bool,env_ohare_noise_contour_half_mile_buffer_bool,env_ohare_noise_contour_data_year,env_airport_noise_dnl,env_airport_noise_data_year,school_elementary_district_geoid,school_elementary_district_name,school_secondary_district_geoid,school_secondary_district_name,school_unified_district_geoid,school_unified_district_name,school_school_year,school_data_year,tax_municipality_num,tax_municipality_name,tax_school_elementary_district_num,tax_school_elementary_district_name,tax_school_secondary_district_num,tax_school_secondary_district_name,tax_school_unified_district_num,tax_school_unified_district_name,tax_community_college_district_num,tax_community_college_district_name,tax_fire_protection_district_num,tax_fire_protection_district_name,tax_library_district_num,tax_library_district_name,tax_park_district_num,tax_park_district_name,tax_sanitation_district_num,tax_sanitation_district_name,tax_special_service_area_num,tax_special_service_area_name,tax_tif_district_num,tax_tif_district_name,tax_data_year,access_cmap_walk_id,access_cmap_walk_nta_score,access_cmap_walk_total_score,access_cmap_walk_data_year,misc_subdivision_id,misc_subdivision_data_year,row_id
20293180300000,2029318030,2025,318,City,1,Lake,72,72221,72225,60620.0,-87.6616206131,41.7506520684,1167541.6100561998,1852444.0799822337,170317103001,170317103001016,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,60620,2024,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,2023,3,2023,3,2023,1,2022,17,2023,,71,AUBURN GRESHAM,2018,,,,6,2018,,,,,,,17031710300.0,2019.0,,,False,2024,1.0,0.0,2019.0,False,False,2020,54.2546424866,omp,609790,CPS ELEMENTARY - BARTON,609698,CPS SECONDARY - BOGAN HS,,,2023 - 2024,2024,30210000,CITY OF CHICAGO,,,,,44060000,BOARD OF EDUCATION,43030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,,,30210001,CITY OF CHICAGO LIBRARY FUND,50200000,CHICAGO PARK DISTRICT,,,,,30210517.0,TIF - CHICAGO - 79TH ST CORRIDOR,2023,727,74.0,82.0,2017,2029E_D,2024.0,202931803000002025
20293190290000,2029319029,2025,190,City,1,Lake,72,72221,72225,60620.0,-87.6594082166,41.7507165713,1168145.1302755014,1852472.3051176823,170317103001,170317103001021,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,60620,2024,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,2023,3,2023,3,2023,1,2022,17,2023,,71,AUBURN GRESHAM,2018,,,,6,2018,,,,,,,17031710300.0,2019.0,,,False,2024,1.0,0.0,2019.0,False,False,2020,53.9520149231,omp,609864,CPS ELEMENTARY - COOK,609698,CPS SECONDARY - BOGAN HS,,,2023 - 2024,2024,30210000,CITY OF CHICAGO,,,,,44060000,BOARD OF EDUCATION,43030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,,,30210001,CITY OF CHICAGO LIBRARY FUND,50200000,CHICAGO PARK DISTRICT,,,,,30210517.0,TIF - CHICAGO - 79TH ST CORRIDOR,2023,727,74.0,82.0,2017,2029E_E,2024.0,202931902900002025
20293190300000,2029319030,2025,190,City,1,Lake,72,72221,72225,60620.0,-87.6593165862,41.7507178857,1168170.1300035329,1852472.9799406123,170317103001,170317103001021,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,60620,2024,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,2023,3,2023,3,2023,1,2022,17,2023,,71,AUBURN GRESHAM,2018,,,,6,2018,,,,,,,17031710300.0,2019.0,,,False,2024,1.0,0.0,2019.0,False,False,2020,53.9520149231,omp,609864,CPS ELEMENTARY - COOK,609698,CPS SECONDARY - BOGAN HS,,,2023 - 2024,2024,30210000,CITY OF CHICAGO,,,,,44060000,BOARD OF EDUCATION,43030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,,,30210001,CITY OF CHICAGO LIBRARY FUND,50200000,CHICAGO PARK DISTRICT,,,,,30210517.0,TIF - CHICAGO - 79TH ST CORRIDOR,2023,727,74.0,82.0,2017,2029E_E,2024.0,202931903000002025
20293190310000,2029319031,2025,190,City,1,Lake,72,72221,72225,60620.0,-87.6592249549,41.7507191869,1168195.1300035326,1852473.6499406092,170317103001,170317103001021,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,60620,2024,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,2023,3,2023,3,2023,1,2022,17,2023,,71,AUBURN GRESHAM,2018,,,,6,2018,,,,,,,17031710300.0,2019.0,,,False,2024,1.0,0.0,2019.0,False,False,2020,53.9520149231,omp,609864,CPS ELEMENTARY - COOK,609698,CPS SECONDARY - BOGAN HS,,,2023 - 2024,2024,30210000,CITY OF CHICAGO,,,,,44060000,BOARD OF EDUCATION,43030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,,,30210001,CITY OF CHICAGO LIBRARY FUND,50200000,CHICAGO PARK DISTRICT,,,,,30210517.0,TIF - CHICAGO - 79TH ST CORRIDOR,2023,727,74.0,82.0,2017,2029E_E,2024.0,202931903100002025
20293190320000,2029319032,2025,190,City,1,Lake,72,72221,72225,60620.0,-87.659133323,41.7507204743,1168220.130216073,1852474.314997532,170317103001,170317103001021,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,60620,2024,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,2023,3,2023,3,2023,1,2022,17,2023,,71,AUBURN GRESHAM,2018,,,,6,2018,,,,,,,17031710300.0,2019.0,,,False,2024,1.0,0.0,2019.0,False,False,2020,53.8989906311,omp,609864,CPS ELEMENTARY - COOK,609698,CPS SECONDARY - BOGAN HS,,,2023 - 2024,2024,30210000,CITY OF CHICAGO,,,,,44060000,BOARD OF EDUCATION,43030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,,,30210001,CITY OF CHICAGO LIBRARY FUND,50200000,CHICAGO PARK DISTRICT,,,,,30210517.0,TIF - CHICAGO - 79TH ST CORRIDOR,2023,727,74.0,82.0,2017,2029E_E,2024.0,202931903200002025
20293190330000,2029319033,2025,517,City,1,Lake,72,72221,72225,60620.0,-87.6589039613,41.7507236344,1168282.7078637516,1852475.9569959147,170317103001,170317103001021,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,60620,2024,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710300,2023,3,2023,3,2023,1,2022,17,2023,,71,AUBURN GRESHAM,2018,,,,6,2018,,,,,,,17031710300.0,2019.0,,,False,2024,1.0,0.0,2019.0,False,False,2020,53.8989906311,omp,609864,CPS ELEMENTARY - COOK,609698,CPS SECONDARY - BOGAN HS,,,2023 - 2024,2024,30210000,CITY OF CHICAGO,,,,,44060000,BOARD OF EDUCATION,43030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,,,30210001,CITY OF CHICAGO LIBRARY FUND,50200000,CHICAGO PARK DISTRICT,,,,,30210517.0,TIF - CHICAGO - 79TH ST CORRIDOR,2023,727,74.0,82.0,2017,2029E_E,2024.0,202931903300002025
20293200270000,2029320027,2025,318,City,1,Lake,72,72221,72225,60620.0,-87.6582726798,41.7507403731,1168454.9197926102,1852483.4073507723,170317107001,170317107001005,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710700,60620,2024,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710700,2023,3,2023,3,2023,1,2022,17,2023,,71,AUBURN GRESHAM,2018,,,,6,2018,,,,,,,,,,,False,2024,1.0,0.0,2019.0,False,False,2020,53.7944526672,omp,609864,CPS ELEMENTARY - COOK,609698,CPS SECONDARY - BOGAN HS,,,2023 - 2024,2024,30210000,CITY OF CHICAGO,,,,,44060000,BOARD OF EDUCATION,43030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,,,30210001,CITY OF CHICAGO LIBRARY FUND,50200000,CHICAGO PARK DISTRICT,,,,,30210517.0,TIF - CHICAGO - 79TH ST CORRIDOR,2023,727,74.0,82.0,2017,2029F_K,2024.0,202932002700002025
20293200280000,2029320028,2025,517,City,1,Lake,72,72221,72225,60620.0,-87.6579977854,41.7507442248,1168529.9200748303,1852485.399510472,170317107001,170317107001005,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710700,60620,2024,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710700,2023,3,2023,3,2023,1,2022,17,2023,,71,AUBURN GRESHAM,2018,,,,6,2018,,,,,,,,,,,False,2024,1.0,0.0,2019.0,False,False,2020,53.7429542542,omp,609864,CPS ELEMENTARY - COOK,609698,CPS SECONDARY - BOGAN HS,,,2023 - 2024,2024,30210000,CITY OF CHICAGO,,,,,44060000,BOARD OF EDUCATION,43030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,,,30210001,CITY OF CHICAGO LIBRARY FUND,50200000,CHICAGO PARK DISTRICT,,,,,30210517.0,TIF - CHICAGO - 79TH ST CORRIDOR,2023,727,74.0,82.0,2017,2029F_K,2024.0,202932002800002025
20293200310000,2029320031,2025,212,City,1,Lake,72,72221,72225,60620.0,-87.6576082806,41.7507497152,1168636.1897264237,1852488.2346534173,170317107001,170317107001005,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710700,60620,2024,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710700,2023,3,2023,3,2023,1,2022,17,2023,,71,AUBURN GRESHAM,2018,,,,6,2018,,,,,,,,,,,False,2024,1.0,0.0,2019.0,False,False,2020,53.6919898987,omp,609864,CPS ELEMENTARY - COOK,609698,CPS SECONDARY - BOGAN HS,,,2023 - 2024,2024,30210000,CITY OF CHICAGO,,,,,44060000,BOARD OF EDUCATION,43030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,,,30210001,CITY OF CHICAGO LIBRARY FUND,50200000,CHICAGO PARK DISTRICT,,,,,30210517.0,TIF - CHICAGO - 79TH ST CORRIDOR,2023,727,74.0,82.0,2017,2029F_K,2024.0,202932003100002025
20293200340000,2029320034,2025,318,City,1,Lake,72,72221,72225,60620.0,-87.6572411211,41.7507551108,1168736.362227969,1852490.9878277313,170317107001,170317107001005,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710700,60620,2024,1701,1,1703114000,1714000,1703166,,,1709930,17031,31,17016,16,17031710700,2023,3,2023,3,2023,1,2022,17,2023,,71,AUBURN GRESHAM,2018,,,,6,2018,,,,,,,,,,,False,2024,1.0,0.0,2019.0,False,False,2020,53.6415672302,omp,609864,CPS ELEMENTARY - COOK,609698,CPS SECONDARY - BOGAN HS,,,2023 - 2024,2024,30210000,CITY OF CHICAGO,,,,,44060000,BOARD OF EDUCATION,43030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,,,30210001,CITY OF CHICAGO LIBRARY FUND,50200000,CHICAGO PARK DISTRICT,,,,,30210517.0,TIF - CHICAGO - 79TH ST CORRIDOR,2023,727,74.0,82.0,2017,2029F_K,2024.0,202932003400002025
